company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
ProKennex,Black Ace Pro,10,0.37,0.09,0.40,0.05,0.08,0.97,Standard,Toray Carbon Fiber,5.3,"1,525",105,6.17,Polypropylene Honeycomb,Peel Ply,15.8,7.6,8.1,22.6,54.5,37.4
Prokennex,Pro Spin,11,,0.07,,,,,Standard,Composit with Submerged Strings,5.12,"1,477",,,Polypropylene Honeycomb,Grit,15.7,7.6,7.6,,,
PROLITE,K2 Power,14,0.27,0.12,0.53,0.06,0.05,0.13,Standard,Toray Carbon Fiber,4.75,"1,628",101,6.4,Polypropylene Honeycomb,Grit,15.7,8.1,7.8,22.7,54,33.6
Proton,Series Four,16,0.88,0.63,0.13,0.61,0.57,0.72,Elongated,3K Kevlar-Carbon Fiber Weave,5.5,"2,114",116.4,5.61,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8,24.1,56.4,35.5
Proton,Series One-Type A,11,0.59,0.61,0.75,0.61,0.45,0.93,Standard,Carbon Fiber,5.25,"2,112",114.5,6.75,Polypropylene Honeycomb,NanoTac,15.8,8.3,8.1,24.1,55.3,36.6
Proton,Series One-Type A,15,0.46,0.89,0.92,0.48,0.71,0.08,Standard,Carbon Fiber,5.25,"2,276",119.1,7.2,Polypropylene Honeycomb,NanoTac,15.8,8.3,8.4,23.9,54.8,33.4
Proton,Series One-Type B,15,0.84,0.96,0.62,0.74,0.98,0.26,Elongated,Carbon Fiber,5.25,"2,336",129.6,6.55,Nomex Honeycomb,NanoTac,16.8,7.3,8.8,24.3,56.1,34.2
Proton,Series Three,15.6,0.84,0.16,0.73,0.81,0.89,0.15,$192.00,Carbon Fiber,5.38,"1,755",122.5,6.72,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,24.5,56.1,33.7
Proton,Series Two,16.2,0.17,0.21,0.31,0.67,0.78,0.31,$176.00,Carbon Fiber,5.38,"1,818",120.6,5.98,Polypropylene Honeycomb,Grit,16.5,7.5,8.3,24.2,53.1,34.4
ProXR,Connor Garnett,14,0.28,0.70,0.10,0.03,0.25,0.22,Elongated,T700 Carbon Fiber,6,"2,163",110,5.52,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,22.5,54.1,34.1
ProXR,Signature,16,0.76,0.87,0.22,0.14,0.57,0.59,Elongated,T700 Carbon Fiber,6,"2,264",116.3,5.77,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,23.2,55.8,35.2
ProXR,Sweet Spot,16,0.30,0.71,0.85,0.24,0.51,0.64,Standard,T700 Carbon Fiber,5.25,"2,169",115.6,6.98,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,23.5,54.2,35.3
