Company,Paddle,Price,Swing weight,Twist weight,Balance,My paddles weight,Core thickness in mm,Grip length,Grip thickness,RPM,Shape,Face Material,Core Material,Youtube Review,Link to purchase,Discount code,Aa ignore,No ID,Grams,
CRBN,CRBN3X 14mm,229.99,112,6.1,233,7.83,14,5.25,4.25,1921,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3YuEc2w,PBSTUDIO 10% OFF,,253,221.9,
CRBN,CRBN1 Genesis,279.99,117,5.4,244,7.92,14,5.5,4.125,2151,Elongated,"Fiberglass,Raw carbon fiber",foam,https://www.youtube.com/watch?v=zRAj7z3TyqE&t=73s&ab_channel=PickleballStudio,https://bit.ly/42yrpQt,PBSTUDIO 10% OFF,,531,224.48,
CRBN,CRBN2 Genesis,279.99,112,6.68,238,8.14,14,5.25,4.125,2172,Wide body,"Fiberglass,Raw carbon fiber",foam,https://www.youtube.com/watch?v=zRAj7z3TyqE&t=73s&ab_channel=PickleballStudio,https://bit.ly/42yrpQt,PBSTUDIO 10% OFF,,532,230.75,
CRBN,CRBN3 Genesis,279.99,125,6.38,245,8.45,14,5.25,4.125,2132,Elongated,"Fiberglass,Raw carbon fiber",foam,https://www.youtube.com/watch?v=zRAj7z3TyqE&t=73s&ab_channel=PickleballStudio,https://bit.ly/42yrpQt,PBSTUDIO 10% OFF,,533,239.44,
Crush,Force 5G,199.99,113,6.86,237,8.27,16,5.25,4.25,,Standard,Raw carbon fiber,Polymer Honeycomb,,,,,538,234.56,
Chorus Pickleball,Echo SX,109,107,7.22,237,7.69,16,5.6,4.25,,Wide body,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,513,218,
Chorus Pickleball,Echo HX,109,110,6.42,241,7.62,16,5.6,4.25,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,514,215.93,
Chorus Pickleball,Echo EX,109,114,6.19,241,7.72,16,5.6,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,515,218.9,
Chorus Pickleball,Supercourt SX,119,109,7.22,235,7.89,16,5.6,4.25,,Wide body,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,510,223.8,
Chorus Pickleball,Supercourt HX,119,113,6.66,241,7.87,16,5.6,4.25,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,511,223.07,
Chorus Pickleball,Supercourt EX,119,114,6.28,241,7.74,16,5.6,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,,PBSTUDIO 10% OFF,,512,219.31,
Chorus Pickleball,Shapeshifter (old aero head),189.99,119,6.91,238,8.3,16,5.3,4.25,2001,Hybrid,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3xfDJb1,PBSTUDIO 10% OFF,,401,235.3,
Chorus Pickleball,Shapeshifter SX,174.99,109,6.96,239,7.81,16,5.6,4.25,,Wide body,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3V41ZFW,PBSTUDIO 10% OFF,,451,221.39,
Chorus Pickleball,Shapeshifter HX,174.99,112,6.21,240,7.69,16,5.6,4.25,,Hybrid,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/3OmEmok,PBSTUDIO 10% OFF,,452,217.88,
Chorus Pickleball,Shapeshifter EX,174.99,115,6.07,242,7.8,16,5.6,4.25,,Elongated,Raw carbon fiber,Polymer Honeycomb,,https://bit.ly/40Yabv0,PBSTUDIO 10% OFF,,453,221,
